trips,route,traveltime
1,1->4->5->6->9,29
2,1->4->5->6->9,29
3,1->4->5->6->9,29
4,1->4->5->8->9,27
5,1->2->5->6->9,30
6,1->4->5->8->9,27
7,1->2->5->6->9,30
8,1->4->5->8->9,27
9,1->2->5->4->1->2->3->6->5->8->9,75
10,1->2->5->6->9,30
11,1->4->7->8->5->6->9,39
12,1->4->5->8->9,27
13,1->2->5->6->9,30
14,1->2->5->4->1->2->5->6->9,65
15,1->2->3->6->5->8->9,48
16,1->4->5->6->9,29
17,1->4->5->6->9,29
18,1->4->5->8->9,27
19,1->4->5->6->9,29
20,1->4->5->6->9,29
21,1->4->5->6->9,29
22,1->4->5->8->9,27
23,1->4->5->6->9,29
24,1->4->5->8->9,27
25,1->4->5->8->9,27
26,1->4->5->8->9,27
27,1->4->5->8->9,27
28,1->4->5->6->9,29
29,1->2->3->6->5->8->9,48
30,1->4->5->8->9,27
31,1->2->5->8->9,28
32,1->2->5->8->9,28
33,1->2->5->6->3->2->1->4->5->6->9,66
34,1->2->5->4->7->8->5->6->9,57
35,1->2->5->6->9,30
36,1->2->5->6->9,30
37,1->2->5->4->1->2->5->6->9,65
38,1->2->3->6->5->2->3->6->5->2->3->6->5->8->9,109
39,1->4->5->8->7->4->5->8->9,52
40,1->2->5->8->9,28
41,1->2->5->8->9,28
42,1->2->5->6->9,30
43,1->2->5->8->9,28
44,1->2->5->6->9,30
45,1->2->5->6->9,30
46,1->2->5->6->3->2->5->4->1->2->5->6->9,90
47,1->2->5->8->7->4->5->6->9,54
48,1->2->5->6->9,30
49,1->2->5->6->9,30
50,1->2->3->6->5->8->9,48
51,1->2->5->4->7->8->5->4->7->8->5->2->3->6->5->2->3->6->5->,129
52,1->4->5->6->9,29
53,1->2->5->6->9,30
54,1->4->5->8->9,27
55,1->4->5->6->9,29
56,1->4->5->8->7->4->5->8->9,52
57,1->4->5->8->9,27
58,1->4->5->8->9,27
59,1->4->5->8->9,27
60,1->4->5->8->9,27
61,1->4->5->2->3->6->5->4->1->2->3->6->9,83
62,1->2->5->6->3->2->5->6->9,56
63,1->2->5->4->1->2->5->6->3->2->5->6->9,90
64,1->4->5->2->1->4->5->8->9,52
65,1->2->5->6->9,30
66,1->2->5->6->9,30
67,1->2->5->6->9,30
68,1->2->3->6->9,30
69,1->2->5->8->9,28
70,1->4->5->6->9,29
71,1->4->5->6->9,29
72,1->2->5->8->9,28
73,1->4->5->6->3->2->5->8->9,55
74,1->4->5->8->9,27
75,1->4->5->2->1->4->7->8->5->4->7->8->9,75
76,1->4->7->8->9,27
77,1->4->5->6->9,29
78,1->2->3->6->9,30
79,1->4->7->8->9,27
80,1->4->5->2->3->6->9,35
81,1->4->5->8->9,27
82,1->4->5->8->9,27
83,1->4->5->8->9,27
84,1->4->7->8->9,27
85,1->2->5->6->9,30
86,1->2->5->6->9,30
87,1->2->5->6->9,30
88,1->2->5->6->9,30
89,1->2->5->6->9,30
90,1->2->5->6->9,30
91,1->2->5->6->3->2->5->6->9,56
92,1->2->5->6->9,30
93,1->2->5->4->7->8->9,47
94,1->2->5->6->9,30
95,1->2->5->4->7->8->9,47
96,1->2->5->4->1->2->3->6->5->2->3->6->9,94
97,1->2->5->6->9,30
98,1->2->5->6->9,30
99,1->2->5->4->7->8->9,47
100,1->2->5->6->9,30
101,1->2->5->6->9,30
102,1->2->5->6->9,30
103,1->2->5->4->1->2->5->8->9,56
104,1->2->5->8->9,28
105,1->2->5->6->9,30
106,1->2->3->6->9,30
107,1->2->5->8->7->4->1->2->5->8->7->4->5->8->9,98
108,1->2->5->6->9,30
109,1->2->5->6->9,30
